Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
SULT1A1	3	-0.16065	-1.1547	0.13127	0.86251	0.24823	1
SULT1A2	3	0.13304	1.7197	0.24108	0.95812	0.085494	1
SULT1B1	3	0.018818	0.27615	0.91999	0.99931	0.78243	1
SULT1C2	3	-0.023813	-0.27656	0.76359	0.99818	0.78211	1
SULT1C3	3	0.06415	0.74289	0.5973	0.99645	0.45755	1
SULT1C4	3	0.14076	1.232	0.21533	0.94075	0.21795	1
SULT1E1	3	0.10004	0.40114	0.38419	0.99339	0.68832	1
SULT2A1	3	-0.013602	-0.11385	0.83465	0.99889	0.90936	1
SULT2B1	3	0.031747	0.40386	0.82431	0.99889	0.68631	1
SULT4A1	3	-0.010151	-0.12498	0.86206	0.99931	0.90054	1
SULT6B1	3	0.012242	0.095873	0.96814	0.99931	0.92362	1
SUMF1	3	0.085379	1.1373	0.46325	0.99645	0.25541	1
SUMF2	3	0.14317	1.0662	0.20744	0.9365	0.28633	1
SUMO1	3	0.0056435	0.035321	0.98015	0.99967	0.97182	1
SUMO2	2	-0.36764	-1.5197	0.018181	0.48806	0.12859	1
SUMO3	3	0.043738	0.49388	0.73413	0.99687	0.62139	1
SUMO4	3	0.022775	0.15096	0.88902	0.99931	0.88001	1
SUN1	3	-0.051283	-0.11138	0.57495	0.99645	0.91132	1
SUN2	3	0.1435	1.7333	0.20605	0.93592	0.083044	1
SUN3	3	0.18403	1.0981	0.10547	0.82558	0.27216	1
SUN5	3	-0.0019668	-0.018339	0.92216	0.99931	0.98537	1
SUOX	3	-0.068019	-0.8266	0.47676	0.99645	0.40847	1
SUPT16H	3	0.14172	0.51718	0.213	0.94075	0.60503	1
SUPT20H	3	0.039496	0.37809	0.76587	0.99842	0.70537	1
SUPT3H	3	-0.1454	-0.87146	0.16435	0.90232	0.3835	1
SUPT4H1	3	0.095726	0.44415	0.40854	0.99645	0.65694	1
SUPT5H	3	-0.091893	-0.3143	0.35689	0.98528	0.7533	1
SUPT6H	3	-0.26034	-1.2332	0.024797	0.56171	0.21751	1
SUPT7L	3	0.029146	0.39573	0.84149	0.99889	0.6923	1
SUPV3L1	3	-0.21821	-0.46328	0.051929	0.70278	0.64317	1
SURF1	3	0.10108	0.99009	0.37902	0.99257	0.32213	1
SURF2	3	-0.033692	-0.37576	0.69321	0.99645	0.70709	1
SURF4	3	-0.026255	-0.30453	0.74569	0.9974	0.76072	1
SURF6	3	-0.0037417	-0.030388	0.90926	0.99931	0.97576	1
SUSD1	3	-0.15154	-1.25	0.15051	0.88958	0.21128	1
SUSD2	3	0.11958	1.968	0.29356	0.97441	0.049068	1
SUSD3	3	-0.0085301	-0.096597	0.87368	0.99931	0.92305	1
SUSD4	3	-0.012164	-0.11373	0.84605	0.99889	0.90945	1
SUSD5	3	-0.016745	-0.13606	0.81263	0.99889	0.89177	1
SUV39H1	3	0.033883	0.23306	0.80924	0.99889	0.81572	1
SUV39H2	3	-0.07262	-0.63658	0.45068	0.99645	0.5244	1
SUV420H1	3	-0.096197	-0.72727	0.33637	0.98138	0.46706	1
SUV420H2	3	0.027312	0.31035	0.85416	0.99909	0.75629	1
SUZ12	3	0.27713	1.535	0.020905	0.52446	0.12477	1
SV2A	3	0.09506	0.81973	0.41227	0.99645	0.41237	1
SV2B	3	-0.14004	-2.1692	0.1778	0.91165	0.030071	1
SV2C	3	0.12317	0.87975	0.27677	0.96662	0.379	1
SVEP1	3	-0.18683	-1.8188	0.085066	0.78663	0.068942	1
SVIL	3	0.039524	0.37126	0.7656	0.99842	0.71044	1
SVIP	3	0.18264	1.2416	0.1082	0.82633	0.21438	1
SVOPL	3	-0.0076806	-0.04709	0.88013	0.99931	0.96244	1
SWAP70	3	0.11651	0.87669	0.30707	0.97726	0.38065	1
SWSAP1	3	-0.03391	-0.33533	0.6912	0.99645	0.73737	1
SWT1	3	0.029601	0.35718	0.83815	0.99889	0.72096	1
SYAP1	3	0.067404	0.74145	0.57606	0.99645	0.45842	1
SYBU	3	0.081244	0.59148	0.48732	0.99645	0.5542	1
SYCE1	3	0.086639	0.96027	0.45613	0.99645	0.33692	1
SYCE1L	3	0.13448	1.4672	0.23585	0.95634	0.14233	1
SYCE2	3	0.1671	1.5958	0.14122	0.88072	0.11053	1
SYCE3	3	0.027351	0.27338	0.854	0.99909	0.78456	1
SYCN	3	-0.12763	-1.4245	0.21539	0.94075	0.1543	1
SYCP1	3	-0.070054	-0.36138	0.46564	0.99645	0.71781	1
SYCP2	3	0.045006	0.56401	0.72573	0.99687	0.57275	1
SYCP2L	3	0.11999	1.169	0.29139	0.972	0.24241	1
SYCP3	3	-0.11914	-0.50595	0.24514	0.95812	0.61289	1
SYDE1	3	-0.10458	-1.1901	0.30034	0.97726	0.23401	1
SYDE2	3	0.049668	0.50336	0.69326	0.99645	0.61471	1
SYF2	3	0.0020887	0.011166	0.95296	0.99931	0.99109	1
SYK	3	0.0604	0.8893	0.62159	0.99645	0.37384	1
SYMPK	3	-0.20844	-1.1428	0.060825	0.73645	0.25312	1
SYN1	3	-0.10387	-0.85051	0.30318	0.97726	0.39504	1
SYN3	3	-0.11506	-1.1323	0.25909	0.96057	0.25752	1
SYNC	3	0.060438	0.53058	0.62143	0.99645	0.59571	1
SYNCRIP	3	-0.039341	-0.27524	0.65368	0.99645	0.78313	1
SYNDIG1	3	-0.11199	-1.4317	0.26993	0.96502	0.15223	1
SYNDIG1L	3	-0.052247	-0.58907	0.56922	0.99645	0.55581	1
SYNE1	3	-0.075417	-0.78523	0.43678	0.99645	0.43232	1
SYNE2	3	0.012647	0.12403	0.96542	0.99931	0.9013	1
SYNE3	3	0.00089971	0.015218	0.94334	0.99931	0.98786	1
SYNE4	3	-0.026578	-0.29993	0.74269	0.99687	0.76423	1
SYNGAP1	3	0.06091	0.57289	0.61881	0.99645	0.56672	1
SYNGR1	3	0.024182	0.2464	0.87757	0.99931	0.80537	1
SYNGR2	3	-0.10302	-1.3307	0.30735	0.97726	0.1833	1
SYNGR3	3	-0.043763	-0.50333	0.62321	0.99645	0.61473	1
SYNGR4	3	-0.16788	-0.92892	0.1177	0.84394	0.35293	1
SYNJ1	3	0.039193	0.35788	0.76826	0.99842	0.72043	1
SYNJ2	3	0.072683	0.67171	0.54181	0.99645	0.50177	1
SYNJ2BP	3	-0.016415	-0.26215	0.81497	0.99889	0.7932	1
SYNPO	3	-0.086976	-0.92571	0.37846	0.99256	0.3546	1
SYNPO2	3	0.075379	0.92014	0.5253	0.99645	0.3575	1
SYNPO2L	3	-0.07614	-0.49877	0.43284	0.99645	0.61794	1
SYNPR	3	0.016415	0.15244	0.93778	0.99931	0.87884	1
SYNRG	3	-0.028478	-0.25718	0.72918	0.99687	0.79704	1
SYP	3	-0.19997	-2.1513	0.069665	0.75413	0.031453	1
SYPL1	3	0.089525	0.42435	0.44134	0.99645	0.67131	1
SYPL2	3	0.27907	1.6476	0.020294	0.51627	0.099431	1
SYS1	3	0.00041617	0.0027975	0.93867	0.99931	0.99777	1
SYT1	3	-0.023903	-0.20246	0.76282	0.99818	0.83955	1
SYT10	3	0.071542	0.61073	0.54954	0.99645	0.54138	1
SYT11	3	0.035706	0.51458	0.79567	0.99889	0.60684	1
SYT12	3	0.044501	0.43595	0.72879	0.99687	0.66288	1
SYT13	3	0.0071067	0.063765	0.99255	0.99967	0.94916	1
SYT14	3	-0.0023635	-0.023623	0.91905	0.99931	0.98115	1
SYT15	3	-0.052633	-0.43316	0.56638	0.99645	0.6649	1
SYT16	3	0.19395	2.3307	0.088847	0.7998	0.019767	1
SYT17	3	-0.019608	-0.19317	0.79351	0.99889	0.84682	1
SYT2	3	-0.031809	-0.27649	0.7061	0.99645	0.78217	1
SYT3	3	-0.020727	-0.18491	0.78606	0.99889	0.8533	1
SYT4	3	0.062412	0.52358	0.60853	0.99645	0.60057	1
SYT5	3	0.071016	0.84081	0.55265	0.99645	0.40046	1
SYT6	3	0.098276	1.229	0.39536	0.99645	0.21906	1
SYT7	3	-0.010621	-0.06177	0.85778	0.99931	0.95075	1
SYT8	3	-0.11968	-1.1214	0.24336	0.95812	0.26213	1
SYT9	3	0.04229	0.52464	0.74341	0.99687	0.59983	1
SYTL1	3	0.12149	1.1711	0.28455	0.97024	0.24155	1
SYTL2	3	0.041312	0.42533	0.75097	0.99796	0.6706	1
SYTL3	3	0.094521	1.3403	0.41516	0.99645	0.18016	1
SYTL4	3	-0.057544	-0.5795	0.53708	0.99645	0.56225	1
SYTL5	3	-0.29099	-2.6626	0.014344	0.44539	0.0077538	1
SYVN1	3	-0.071061	-0.51906	0.45986	0.99645	0.60372	1
SZRD1	3	0.09426	0.49284	0.41649	0.99645	0.62213	1
SZT2	3	0.1125	1.6063	0.3227	0.97726	0.1082	1
Sep-01	3	-0.020593	-0.23478	0.78683	0.99889	0.81438	1
Sep-02	3	-0.06925	-0.8193	0.46998	0.99645	0.41261	1
Sep-03	3	0.035558	0.47323	0.7964	0.99889	0.63605	1
Sep-04	3	0.0088233	0.11226	0.99349	0.99967	0.91062	1
Sep-05	3	0.16991	0.95619	0.13449	0.86703	0.33898	1
Sep-06	3	0.090505	1.2979	0.43712	0.99645	0.19431	1
Sep-08	3	0.089367	0.88574	0.44201	0.99645	0.37576	1
Sep-09	3	0.083468	0.76648	0.4742	0.99645	0.44339	1
Sep-10	3	-0.084425	-0.51695	0.38986	0.99616	0.60519	1
Sep-11	3	0.17127	1.2735	0.1316	0.86261	0.20284	1
Sep-12	3	0.22111	2.3703	0.052596	0.70354	0.017776	1
Sep-14	3	0.017578	0.15386	0.92889	0.99931	0.87772	1
T	3	0.011677	0.13561	0.97226	0.99943	0.89213	1
TAAR1	3	0.0754	0.3586	0.52519	0.99645	0.71989	1
TAAR2	3	-0.18894	-1.7776	0.082453	0.78663	0.075466	1
TAAR5	3	0.085523	1.2097	0.46258	0.99645	0.22639	1
TAAR6	3	0.028551	0.35831	0.84566	0.99889	0.72011	1
TAAR8	3	-0.084606	-0.89494	0.38891	0.99615	0.37082	1
TAB1	3	-0.10126	-1.1266	0.31458	0.97726	0.25989	1
TAB2	3	0.12063	0.7793	0.28822	0.97097	0.43581	1
TAB3	3	0.010568	0.13318	0.98043	0.99967	0.89405	1
TAC1	3	-0.10794	-0.91892	0.28589	0.97048	0.35814	1
TAC3	3	0.055454	0.52505	0.65356	0.99645	0.59955	1
TAC4	3	-0.07234	-0.6623	0.45241	0.99645	0.50778	1
TACC1	3	0.16009	1.283	0.15851	0.89711	0.1995	1
TACC2	3	0.062411	0.69372	0.60858	0.99645	0.48786	1
TACC3	3	0.11782	1.0921	0.30146	0.97726	0.27479	1
TACO1	3	-0.076642	-0.84762	0.42995	0.99645	0.39665	1
TACR1	3	-0.026554	-0.29655	0.74291	0.99687	0.76681	1
TACR2	3	-0.032562	-0.34545	0.70038	0.99645	0.72975	1
TACR3	3	0.074803	1.0877	0.52902	0.99645	0.27673	1
TACSTD2	3	0.034224	0.45512	0.8064	0.99889	0.64902	1
TADA1	3	-0.26181	-1.6619	0.024408	0.55711	0.096539	1
TADA2A	3	-0.086693	-0.62455	0.37952	0.99258	0.53227	1
TADA2B	3	-0.02923	-0.19313	0.72429	0.99687	0.84686	1
TADA3	3	-0.037679	-0.2849	0.66452	0.99645	0.77572	1
TAF1	3	0.069283	0.19954	0.56383	0.99645	0.84184	1
TAF10	3	-0.086198	-0.3781	0.38141	0.99277	0.70535	1
TAF11	3	-0.14573	-0.99954	0.16363	0.90165	0.31754	1
TAF12	3	-0.12766	-0.57793	0.21539	0.94075	0.56331	1
TAF13	3	-0.12707	-0.52971	0.21745	0.94112	0.59631	1
TAF15	3	-0.074622	-0.61672	0.44118	0.99645	0.53742	1
TAF1A	3	-0.051874	-0.34028	0.57161	0.99645	0.73364	1
TAF1B	3	-0.70194	-2.0065	5.5599e-05	0.026316	0.044802	1
TAF1C	3	-0.020216	-0.10789	0.78939	0.99889	0.91408	1
TAF1D	3	0.047215	0.2233	0.71066	0.99645	0.8233	1
TAF1L	3	-0.02133	-0.14785	0.78139	0.99889	0.88246	1
TAF2	3	0.20736	0.62731	0.069832	0.75413	0.53045	1
TAF3	3	-0.16021	-0.60383	0.13238	0.86293	0.54595	1
TAF4	3	-0.080239	-0.60909	0.41215	0.99645	0.54247	1
TAF4B	3	0.016432	0.15567	0.93767	0.99931	0.87629	1
TAF5	3	0.13982	0.67125	0.21789	0.94112	0.50206	1
TAF5L	3	-0.20462	-0.85657	0.064661	0.74599	0.39168	1
TAF6	3	0.20514	0.69621	0.072501	0.76035	0.4863	1
TAF6L	3	-0.29637	-2.3415	0.01301	0.42857	0.019209	1
TAF7	3	0.50781	1.1722	0.00050039	0.076923	0.24111	1
TAF7L	3	-0.06284	-0.36417	0.50589	0.99645	0.71573	1
TAF8	3	0.13253	0.64705	0.24274	0.95812	0.5176	1
TAF9	3	0.13067	1.0921	0.24869	0.95812	0.27477	1
TAF9B	3	-0.054873	-0.60226	0.55326	0.99645	0.547	1
TAGAP	3	-0.035561	-0.42284	0.68081	0.99645	0.67241	1
TAGLN	3	-0.20715	-2.4284	0.061993	0.73916	0.015167	1
TAGLN2	3	0.0025296	0.02877	0.95597	0.99931	0.97705	1
TAGLN3	3	0.092938	0.72612	0.42444	0.99645	0.46776	1
TAL1	3	0.046014	0.5721	0.71889	0.99687	0.56725	1
TAL2	3	0.15893	1.4793	0.16118	0.89978	0.13905	1
TALDO1	3	0.10604	0.79583	0.354	0.98528	0.42613	1
TAMM41	3	0.011115	0.051311	0.97659	0.99967	0.95908	1
TANC1	3	-0.11763	-1.1492	0.25081	0.95812	0.25047	1
TANC2	3	0.080926	0.91679	0.48994	0.99645	0.35925	1
TANGO2	3	0.05882	0.57192	0.63155	0.99645	0.56737	1
TANGO6	3	-0.34472	-1.2889	0.0058935	0.30548	0.19744	1
TANK	3	0.10629	0.79243	0.35289	0.98528	0.42811	1
TAOK1	3	0.0089516	0.052226	0.99222	0.99967	0.95835	1
TAOK2	3	-0.0091757	-0.06629	0.86968	0.99931	0.94715	1
TAOK3	3	-0.10282	-0.61565	0.30813	0.97726	0.53812	1
TAP1	3	-0.0051096	-0.071056	0.90009	0.99931	0.94335	1
TAP2	3	-0.057049	-0.44815	0.53948	0.99645	0.65405	1
TAPBP	3	-0.010509	-0.09349	0.85861	0.99931	0.92551	1
TAPBPL	3	0.016198	0.15471	0.93917	0.99931	0.87705	1
TAPT1	3	-0.21537	-1.3155	0.054598	0.70647	0.18834	1
TARBP1	3	-0.034929	-0.32881	0.68553	0.99645	0.7423	1
TARBP2	3	-0.13734	-1.0649	0.18509	0.91165	0.28693	1
TARDBP	3	0.87612	1.8087	0	0	0.070492	1
TARM1	3	-0.19387	-1.2945	0.075114	0.76744	0.19548	1
TARS	3	0.00094426	0.0022682	0.94368	0.99931	0.99819	1
TARS2	3	-0.098951	-0.41944	0.32403	0.97726	0.67489	1
TARSL2	3	-0.090932	-1.3259	0.36078	0.98528	0.18486	1
TAS1R1	3	0.081284	0.79817	0.48705	0.99645	0.42477	1
TAS1R2	3	0.018579	0.201	0.92177	0.99931	0.8407	1
TAS1R3	3	0.033877	0.38266	0.80935	0.99889	0.70197	1
TAS2R1	3	-0.0821	-1.1338	0.40298	0.99645	0.25686	1
TAS2R10	3	0.15266	0.61715	0.17825	0.91165	0.53714	1
TAS2R13	3	0.010994	0.050944	0.97743	0.99967	0.95937	1
TAS2R14	3	0.016996	0.14496	0.93373	0.99931	0.88474	1
TAS2R16	3	0.03241	0.31293	0.81964	0.99889	0.75433	1
TAS2R19	3	0.089606	0.51949	0.44095	0.99645	0.60342	1
TAS2R20	3	-0.072288	-0.59443	0.45274	0.99645	0.55222	1
TAS2R3	3	0.10195	1.0251	0.37451	0.99176	0.30532	1
TAS2R30	3	0.11167	0.65516	0.3267	0.97746	0.51236	1
TAS2R31	3	0.0018377	0.019358	0.95085	0.99931	0.98456	1
TAS2R38	3	-0.01982	-0.14415	0.79206	0.99889	0.88539	1
TAS2R39	3	0.1921	1.2298	0.092183	0.80228	0.21876	1
TAS2R4	3	0.15497	1.3653	0.1718	0.9115	0.17215	1
TAS2R40	3	0.073787	0.66981	0.53531	0.99645	0.50298	1
TAS2R41	3	-0.094316	-0.64972	0.34544	0.98325	0.51587	1
TAS2R42	3	-0.085665	-0.44581	0.38391	0.99339	0.65573	1
TAS2R43	3	0.030468	0.22053	0.83254	0.99889	0.82546	1
TAS2R46	3	0.047906	0.29936	0.70538	0.99645	0.76467	1
TAS2R5	3	-0.062763	-0.4993	0.50639	0.99645	0.61757	1
TAS2R50	3	0.035238	0.29466	0.79873	0.99889	0.76825	1
TAS2R60	3	-0.024763	-0.32818	0.75676	0.99796	0.74277	1
TAS2R7	3	0.0033671	0.018662	0.96158	0.99931	0.98511	1
TAS2R8	3	0.006618	0.055106	0.98821	0.99967	0.95605	1
TAS2R9	3	-0.09294	-0.45294	0.35144	0.98528	0.65059	1
TASP1	3	-0.077347	-0.68319	0.42583	0.99645	0.49449	1
TAT	3	0.13553	1.3275	0.23179	0.95204	0.18436	1
TATDN1	3	-0.10348	-0.96753	0.3049	0.97726	0.33328	1
TATDN2	3	-0.0086168	-0.092962	0.87312	0.99931	0.92593	1
TATDN3	3	-0.0029438	-0.033607	0.91532	0.99931	0.97319	1
TAX1BP1	3	-0.095233	-0.565	0.34077	0.98269	0.57207	1
TAX1BP3	3	0.057433	0.37207	0.64044	0.99645	0.70984	1
TAZ	3	0.20311	1.437	0.074892	0.76744	0.15072	1
TBATA	3	0.137	0.99459	0.22651	0.94481	0.31994	1
TBC1D1	3	-0.069463	-0.58256	0.46881	0.99645	0.56019	1
TBC1D10A	3	0.0032207	0.046991	0.9608	0.99931	0.96252	1
TBC1D10B	3	-0.0056976	-0.070168	0.89553	0.99931	0.94406	1
TBC1D10C	3	0.052768	0.53544	0.67219	0.99645	0.59235	1
TBC1D12	3	0.052146	0.57132	0.67636	0.99645	0.56778	1
TBC1D13	3	-0.055523	-0.87177	0.54948	0.99645	0.38333	1
TBC1D14	3	-0.12123	-0.79405	0.23763	0.95658	0.42716	1
TBC1D15	3	0.2119	1.1982	0.063438	0.74173	0.23083	1
TBC1D16	3	-0.12051	-1.2993	0.23974	0.95717	0.19383	1
TBC1D17	3	-0.066364	-0.61655	0.48554	0.99645	0.53753	1
TBC1D19	3	0.062429	0.60168	0.60847	0.99645	0.54739	1
TBC1D2	3	-0.031386	-0.33801	0.70866	0.99645	0.73536	1
TBC1D20	3	0.18119	1.7237	0.11164	0.83946	0.084756	1
TBC1D21	3	0.13633	0.78845	0.22879	0.94685	0.43043	1
TBC1D22A	3	0.091133	0.99731	0.43317	0.99645	0.31861	1
TBC1D22B	3	-0.0316	-0.27521	0.70755	0.99645	0.78316	1
TBC1D23	3	0.043054	0.47803	0.7388	0.99687	0.63263	1
TBC1D24	3	0.15093	1.6568	0.18292	0.91165	0.097569	1
TBC1D25	3	-0.14639	-1.5996	0.16224	0.90077	0.10968	1
TBC1D26	3	0.012876	0.11625	0.96358	0.99931	0.90746	1
TBC1D28	3	0.058042	0.68304	0.63644	0.99645	0.49458	1
TBC1D29	3	0.037956	0.18417	0.77799	0.99889	0.85388	1
TBC1D2B	3	0.049096	0.40123	0.69637	0.99645	0.68825	1
TBC1D30	3	-0.085851	-0.89724	0.38274	0.99308	0.36959	1
TBC1D31	3	0.11954	0.40827	0.29384	0.97441	0.68308	1
TBC1D32	3	0.14697	1.1986	0.19404	0.91721	0.23068	1
TBC1D4	3	0.078003	0.86573	0.50862	0.99645	0.38664	1
TBC1D5	3	-0.13628	-0.85109	0.1882	0.91165	0.39472	1
TBC1D7	3	0.017418	0.10729	0.93006	0.99931	0.91456	1
TBC1D8	3	0.026255	0.21985	0.86245	0.99931	0.82599	1
TBC1D8B	3	-0.014085	-0.13392	0.83109	0.99889	0.89347	1
TBC1D9	3	-0.009436	-0.10079	0.86767	0.99931	0.91972	1
TBC1D9B	3	0.039099	0.39002	0.76893	0.99842	0.69652	1
TBCA	3	-0.083755	-0.20472	0.39397	0.99645	0.83779	1
TBCB	3	-0.068908	-0.26745	0.47131	0.99645	0.78913	1
TBCC	3	0.062465	0.65757	0.60831	0.99645	0.51081	1
TBCCD1	3	0.066986	0.63888	0.57895	0.99645	0.5229	1
TBCD	3	-0.08201	-0.30933	0.40365	0.99645	0.75707	1
TBCE	3	0.0042845	0.041963	0.96881	0.99931	0.96653	1
TBCEL	3	0.13215	1.3816	0.24397	0.95812	0.16708	1
TBCK	3	0.03742	0.15517	0.78311	0.99889	0.87669	1
TBK1	3	-0.04668	-0.26592	0.6048	0.99645	0.7903	1
TBKBP1	3	0.059346	0.67199	0.6286	0.99645	0.50159	1
TBL1X	3	-0.033169	-0.27676	0.69626	0.99645	0.78197	1
TBL1XR1	3	0.14162	0.47746	0.21333	0.94075	0.63304	1
TBL1Y	3	0.063209	0.67575	0.60319	0.99645	0.4992	1
TBL2	3	0.042537	0.34067	0.74213	0.99687	0.73335	1
TBL3	3	-0.2203	-1.0019	0.049594	0.69136	0.31637	1
TBP	3	-0.074469	-0.1667	0.44173	0.99645	0.86761	1
TBPL1	3	-0.15125	-1.5254	0.1509	0.89013	0.12717	1
TBPL2	3	0.015668	0.12172	0.94279	0.99931	0.90312	1
TBR1	3	0.066795	0.91435	0.58012	0.99645	0.36053	1
TBRG1	3	-0.13095	-1.2913	0.2046	0.93567	0.19662	1
TBRG4	3	-0.071061	-0.87106	0.45986	0.99645	0.38372	1
TBX1	3	0.096785	0.61492	0.40331	0.99645	0.53861	1
TBX10	3	0.082434	0.68038	0.48043	0.99645	0.49627	1
TBX15	3	0.0402	0.45676	0.75976	0.99796	0.64785	1
TBX18	3	-0.07294	-0.95563	0.44879	0.99645	0.33926	1
TBX19	3	0.053444	0.39529	0.66746	0.99645	0.69263	1
TBX2	3	-0.15402	-1.7462	0.14561	0.88509	0.080784	1
TBX20	3	0.012657	0.15362	0.96542	0.99931	0.87791	1
TBX21	3	0.068724	0.7742	0.567	0.99645	0.43881	1
TBX22	3	-0.12068	-1.2306	0.23913	0.95705	0.21846	1
TBX3	3	0.071258	0.55539	0.55093	0.99645	0.57863	1
TBX4	3	-0.16259	-1.5371	0.12777	0.85714	0.12426	1
TBX5	3	-0.27519	-1.9275	0.018959	0.50073	0.053921	1
TBX6	3	-0.013528	-0.13966	0.83532	0.99889	0.88893	1
TBXA2R	3	0.15657	1.146	0.16746	0.90375	0.25181	1
TBXAS1	3	0.013081	0.10993	0.96214	0.99931	0.91247	1
TC2N	3	-0.10811	-0.71835	0.28511	0.97031	0.47254	1
TCAIM	3	-0.022907	-0.17679	0.77027	0.99842	0.85967	1
TCAP	3	0.021959	0.24813	0.89531	0.99931	0.80403	1
TCEA1	3	-0.013604	-0.062607	0.83465	0.99889	0.95008	1
TCEA2	3	-0.034223	-0.50297	0.68943	0.99645	0.61498	1
TCEA3	3	0.11235	0.79581	0.3237	0.97726	0.42614	1
TCEAL1	3	0.23406	1.7512	0.042255	0.64821	0.079919	1
TCEAL2	3	0.063781	0.50586	0.59902	0.99645	0.61296	1
TCEAL3	3	0.0034549	0.034264	0.96242	0.99931	0.97267	1
TCEAL4	3	0.049983	0.27316	0.69126	0.99645	0.78473	1
TCEAL5	3	0.014096	0.17014	0.95385	0.99931	0.8649	1
TCEAL6	3	0.058339	0.65926	0.63422	0.99645	0.50973	1
TCEAL7	3	0.44207	1.5608	0.0013344	0.14118	0.11858	1
TCEAL8	3	-0.022692	-0.20009	0.77182	0.99871	0.84141	1
TCEANC	3	-0.03456	-0.22589	0.6877	0.99645	0.82128	1
TCEANC2	3	0.12837	1.0408	0.25692	0.95875	0.29797	1
TCEB1	3	-0.17988	-1.0896	0.096798	0.81305	0.27589	1
TCEB2	3	0.16601	0.61441	0.14383	0.88481	0.53894	1
TCEB3	3	-0.055177	-0.55028	0.55148	0.99645	0.58213	1
TCEB3B	3	0.10855	1.4915	0.34121	0.98286	0.13583	1
TCERG1	3	-0.01837	-0.16538	0.80201	0.99889	0.86865	1
TCERG1L	3	0.0083983	0.11989	0.99661	0.99967	0.90457	1
TCF12	3	0.11791	1.3469	0.30112	0.97726	0.178	1
TCF15	3	-0.034531	-0.30369	0.68792	0.99645	0.76137	1
TCF19	3	-0.034604	-0.3707	0.68737	0.99645	0.71086	1
TCF20	3	-0.026191	-0.2312	0.74641	0.99747	0.81716	1
TCF21	3	0.044021	0.52722	0.73229	0.99687	0.59804	1
TCF23	3	-0.0098223	-0.10467	0.86467	0.99931	0.91664	1
TCF24	3	-0.053044	-0.71252	0.56427	0.99645	0.47614	1
TCF25	3	-0.012974	-0.10742	0.83971	0.99889	0.91445	1
TCF3	3	-0.18045	-1.2019	0.095741	0.80769	0.22939	1
TCF4	3	0.067988	0.78309	0.57206	0.99645	0.43358	1
TCF7	3	0.036042	0.24265	0.79339	0.99889	0.80828	1
TCF7L1	3	0.054455	0.65467	0.66018	0.99645	0.51268	1
TCF7L2	3	-0.061154	-0.7297	0.51562	0.99645	0.46557	1
TCFL5	3	0.046698	0.61498	0.71394	0.99645	0.53857	1
TCHH	3	0.06809	0.834	0.57144	0.99645	0.40428	1
TCHHL1	3	0.043362	0.35519	0.73674	0.99687	0.72245	1
TCHP	3	-0.088719	-0.93279	0.37023	0.99004	0.35093	1
TCIRG1	3	-0.066556	-0.66084	0.48465	0.99645	0.50872	1
TCL1A	3	-0.008261	-0.077126	0.87546	0.99931	0.93852	1
TCL1B	3	-0.0066278	-0.10037	0.88808	0.99931	0.92005	1
TCN1	3	-0.36428	-2.4173	0.0041699	0.24917	0.015634	1
TCN2	3	-0.11905	-1.4996	0.24547	0.95812	0.13371	1
TCOF1	3	-0.04415	-0.26223	0.62026	0.99645	0.79314	1
TCP1	3	-0.16142	-0.61721	0.12982	0.85997	0.5371	1
TCP10	3	0.032824	0.263	0.81702	0.99889	0.79255	1
TCP10L	3	0.055438	0.41136	0.65362	0.99645	0.68081	1
TCP10L2	3	0.11025	0.77736	0.33365	0.97992	0.43695	1
TCP11	3	0.053881	0.39354	0.66391	0.99645	0.69392	1
TCP11L1	3	0.075676	0.85111	0.52374	0.99645	0.39471	1
TCP11L2	3	0.12957	0.68553	0.25247	0.95812	0.49301	1
TCP11X2	3	0.048802	0.44287	0.69821	0.99645	0.65786	1
TCTA	3	0.084773	1.1067	0.46692	0.99645	0.26844	1
TCTE1	3	-0.10523	-0.94127	0.29768	0.97685	0.34656	1
TCTE3	3	0.13735	0.84137	0.22545	0.94302	0.40014	1
TCTEX1D1	3	-0.062199	-0.52832	0.51012	0.99645	0.59727	1
TCTEX1D2	3	-0.046384	-0.49684	0.60664	0.99645	0.6193	1
TCTEX1D4	3	-0.083276	-0.89996	0.39597	0.99645	0.36814	1
TCTN1	3	0.041187	0.286	0.75231	0.99796	0.77488	1
TCTN2	3	0.064326	0.80606	0.5963	0.99645	0.42021	1
TCTN3	3	-0.058339	-0.39512	0.53303	0.99645	0.69275	1
TDG	3	0.026855	0.18793	0.85733	0.99931	0.85093	1
TDGF1	3	-0.2515	-0.92499	0.028355	0.58087	0.35497	1
TDO2	3	-0.13967	-0.84454	0.17936	0.91165	0.39837	1
TDP1	3	0.017498	0.17142	0.92933	0.99931	0.8639	1
TDP2	3	0.10316	0.81806	0.36779	0.98853	0.41332	1
TDRD1	3	0.062301	0.36875	0.60936	0.99645	0.71232	1
TDRD10	3	0.085422	0.36946	0.46292	0.99645	0.71178	1
TDRD12	3	-0.00060991	-0.0053215	0.93128	0.99931	0.99575	1
TDRD3	3	-0.20011	-1.6081	0.069387	0.75413	0.10781	1
